,0
MDVP:Fo(Hz),160.30910575175704
MDVP:Fhi(Hz),193.77134763577914
MDVP:Flo(Hz),125.50907074541763
MDVP:Jitter(%),0.005502412103611288
MDVP:Jitter(Abs),3.8001012176198686e-05
MDVP:RAP,0.0028794005127559166
MDVP:PPQ,0.003029040922192648
Jitter:DDP,0.00863925766503737
MDVP:Shimmer,0.025987841824253146
MDVP:Shimmer(dB),0.24595275962986135
Shimmer:APQ3,0.013731130847435356
Shimmer:APQ5,0.015575143418950698
MDVP:APQ,0.02095146301632824
Shimmer:DDA,0.04119357809543083
NHR,0.02070144921258147
HNR,22.99462561546039
RPDE,0.4768577427284425
DFA,0.7158397836830179
spread1,-6.046413163187028
spread2,0.2080850764732703
D2,2.2865924255736902
PPE,0.18088121690284312
